module output,emotion,label
When we hear,neutral,neutral
Rat our hearts and increase our confidence,neutral,positive
 my brother and sister,neutral,neutral
We have gathered in many places around the world,fun,positive
 To listen and learn from those brothers and sisters,neutral,positive
They have taken help from heaven,neutral,negative
 Submit your messages,neutral,neutral
 What do they have to say,neutral/suprised,negative
 This is the year of the conference when we were presented to the grand conference by the radio.,happiness,neutral
The meetings were presented for the first time by the radio station during the October conference of the church by a station called Apna Kasal,happiness,neutral
 We are delighted with the blessings of modern media that give opportunity to millions of church members.,happiness,positive
 To see or hear the conference,happiness,neutral
" Since we were there six months ago, a new temple has been surrendered",love,positive
"In May, Principal Dieter Uchtdorf surrendered the Fort Lauderdale Florida ",neutral,neutral
 Has surrendered,neutral,neutral
 A great youth cultural ceremony was presented the day before the dedication,happiness,positive
"In the next day, on Sunday May, the temple was surrendered in three meetings",happiness,neutral
" Only two weeks ago, I was lucky to give up the temple again.",happiness,negative
Which was first dedicated by the head Joseph Fielding Smith,neutral,positive
So many youngsters were participating in it that there were two different performances,neutral,neutral
 Whose actors were completely different,neutral/fun,neutral
  Together 16000 youth participated,surprised,neutral
The dedication ceremonies were held the next day,neutral,neutral
" Several brothers joined him, including the leaders of the presidency and the  head.",neutral,neutral
 Their advisors and their wives,neutral,negative
We still continue to build temples,enthusiasm,neutral
Next month is the dedication of the new Phoenix Arizon Temple and next year,neutral,neutral
 I hope five other temples will be surrendered or rededicated.,enthusiasm,neutral
Other are also possible if finished on time,happiness,positive
 As i said in april,neutral,neutral
When the construction and dedication of the previously fixed temples will end,happiness,positive
We will have temples around the world,happiness,neutral
 Because we are making our efforts to finish the construction eariler,happiness,neutral
" We will not announce any new temples at this time, although in the future",surprised,neutral
 Then we will announce other things,neutral,neutral
 The church is growing,neutral,positive
 Right now we have more than a million members and the number is increasing,neutral,neutral
 We are all yogis and accomplished young men,neutral,positive
 She also contributes a lot,happiness,positive
 Even if they have no need to serve like it is a command for young men,neutral,negative
Who has been asked to give a speech to all the people,neutral,negative
 Is a big responsibility,worry,neutral
  Rattle our hearts when we hear,love,neutral
 And increase our confidence,enthusiasm,positive
 Amen in the name of Jesus Christ,love,positive
Not a single job is done by boys,Worry,negative
"Already given so many ways to impress girls, but this is not the same as boys",Worry,negative
"Girls are better, we gave them some really good ways, they are using them equally",Relief,positive
Now we have come up with some more ways for boys,Enthusiasm,positive
"Even after this, if you fail then give up hope",Sadness,negative
Find out which film hero he likes,Enthusiasm,positive
And you too dress up like the same hero and turn around in front of him,Enthusiasm,positive
It won't take long for the case to fit,Relief,positive
Girls are far ahead of boys in terms of girls,Relief,positive
