module output,Emotion,label
Majestic who returned normal after the lockdown.,surprise,Neutral
The bike races at the speed of km lifted,surprise,Neutral
"Pakistani Reaction on Bangalore City INDIA 2020, View & Facts, Karnataka Reaction, Waley",neutral,Positive
bangalore Commissioner Bhaskar Rao Reacts On Lockdown And Bangalore Present Situation,,Positive
"We are all tired, but we need to keep going. The future needs us!.",sadness,negative
"When using social media, judges should be guided by the Bangalore Principles, created over 20 years ago to guide the work and personal lives of magistrates, namely: independence, impartiality, integrity, suitability, equality, competence and diligence.",neutral,neutral
"That's not a Dad Bod, That is a Fat bod and is very bad",sadness,negative
"Hello All, 2 Guys are travelling to Lucknow, UP by Flight from Bangalore. Do they need any E-Pass ? If yes please share the link to apply for EPass.I just met him at Bangalore Airport on the way to Hyderabad",neutral,neutral
"When interstate travel opened, many of those stuck in MH/TN/DELHI will return home,others also find Bangalore better in CORONAVIRUS infected numbers will try to shift to safer places.BUT it is totally the responsibility/duty of host state authorities to screen incoming passengers",neutral,neutral
Bangalore be cold like it's December already. Desperately need a couple of sunny days.,sadness,negative
"OMG! Current windoswap window has DOGGOS in it! With wagging tails! Also amazing deck-plant action. Window is in Bangalore, Inda.",happiness,positive
I can smell something burning in Mumbai from Bangalore. Don't be jealous From Kangana you C Grade Actresses,neutral,neutral
"21/07/2020 05:06We got married
Air Temperature: 23.7°C
Real Feel Temperature: 24.3°C
Relative Humidity: 84.3%
Water Vapor in 1kg of Air: 17.3g/kg
Dew Point: 20.9°C
Mean Sea Level Pressure: 1018.5mb
Actual Pressure: 914.2mb
",sadness,negative
Join this group,neutral,neutral
We must be vary of consequences before build up of relationships. Never trust a chink! He will never be trustworthy!!,hate,neutral
When everything is owned by the government and party where there exists PRIVATE. There is no difference between the party and people. All belong to the party!!,neutral,neutral
"Bangalore, India ",neutral,neutral
"Bangalore stretching and putting on runners-Wraith: What are you doing?Bangalore: Just getting in my cardio for the day pata nahi kya hoga",neutral,neutral
"Air Temperature: 23.7°C
Real Feel Temperature: 24.3°C
Relative Humidity: 84.3%
Water Vapor in 1kg of Air: 17.3g/kg
Dew Point: 20.9°C
Mean Sea Level Pressure: 1018.5mb
Actual Pressure: 914.2mb",neutral,neutral
Can be black again,neutral,neutral
Unlearn and adhere to the civilisation!,neutral,neutral
I dreamt I took a transfer from the US to Bangalore in my current company.,happiness,neutral
"LOCATION: Bangalore/Gurgaon.
QUALIFICATIONS:
Bachelor's degree in Computer Science, related technical discipline or equivalent practical experience
8+ years of experience in consumer-facing software products with high levels of concurrency in Gaming",empty,positive
We are safe.. hopefully.. Bangalore has become an epicentre now...No beds in Hospitals n acute shortage of Medical Personnel here..this chinese virus is lab tweaked & is dangerous...Take utmost precautions..,relief,positive
"The all day marathon continues!
Streaming Apex now! 
",empty,neutral
"19/07/2020 05:06
Air Temperature: 23.7°C
Real Feel Temperature: 24.3°C
Relative Humidity: 84.3%
Water Vapor in 1kg of Air: 17.3g/kg
Dew Point: 20.9°C
Mean Sea Level Pressure: 1018.5mb
Actual Pressure: 914.2mb",sadness,negative
"Siddapura mosques have started wreaking havoc, 5 times a day, again, starting from 5 AM. Siddapura is incidentally a covid hotspot too. No wonder bangalore has gone out of control. ",sadness,neutral
"have not received this order. Placed 11 days back, delivery in Bangalore only.
Tracking ID 1637511271303
Order ID 80436
Says for July 7, waiting for pick up",worry,neutral
I got trained in Acting from "Centre Stage" in Bangalore!,neutral,neutral
Can it be delivered to Bangalore???,worry,neutral
Screenshot your statement: will continue to send you numbers proving you are wrong every 30 days for 3 months at least. PS: I too am originally from Karnataka (Bangalore) from my father's side.,hate,negative
"1 Bedroom Paying Guest for rent in Electronic City, Bangalore",neutral,neutral
